model,benchmark,specification,estimand,records,source_video_clusters,coefficient,cluster_se,ci_low,ci_high,p_two_sided,predictor_scale,raw_gap,main_abs_sum_gap,outside_support_low,outside_support_high,p_bh_within_specification
qwen3_vl_32b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.5856590781402411,0.04724078721095386,0.4906751095346779,0.6806430467458042,1.4209748604619428e-16,0.5,0.5856590781402409,2.124572437682107,0.11012793345667887,7.441937714995292,2.8419497209238855e-16
qwen3_vl_32b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.25654634627116535,0.030474346635395878,0.19527356579937172,0.317819126742959,5.1725905567689e-11,0.5,0.5856590781402409,2.124572437682107,0.11012793345667887,7.441937714995292,9.31066300218402e-10
qwen3_vl_32b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.19250599640008567,0.030863516716265294,0.13045073703820798,0.25456125576196337,1.0870023236905311e-07,0.5,0.5856590781402409,2.124572437682107,0.11012793345667887,7.441937714995292,3.735276320044126e-07
qwen3_vl_32b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.1753634509005128,0.03249879098169107,0.11002025226710933,0.2407066495339163,2.0674724452856432e-06,0.5,0.5856590781402409,2.124572437682107,0.11012793345667887,7.441937714995292,1.240483467171386e-05
qwen3_vl_32b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2773,49,0.20063598892965784,0.03087914092331393,0.13854931499407358,0.2627226628652421,4.339497305137541e-08,0.499092456330009,0.5856590781402409,2.124572437682107,0.11012793345667887,7.441937714995292,3.905547574623787e-07
qwen3_vl_32b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,2.2366670773260755,0.19832902670214367,1.8432823932402589,2.630051761411892,1.2315160645414512e-19,0.5,2.2366670773260773,5.56265942992307,0.11726202657067916,14.1986623467342,5.54182229043653e-19
qwen3_vl_32b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,-0.008253308550644628,0.060603208098215997,-0.1284594844630988,0.11195286736180955,0.8919426649661815,0.5,2.2366670773260773,5.56265942992307,0.11726202657067916,14.1986623467342,0.8919426649661815
qwen3_vl_32b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.20883177620202165,0.036727273823413294,0.13598340271579934,0.28168014968824395,1.2450921066813754e-07,0.5,2.2366670773260773,5.56265942992307,0.11726202657067916,14.1986623467342,3.735276320044126e-07
qwen3_vl_32b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.1610900070096683,0.04432195543128781,0.07317761856444056,0.24900239545489605,0.0004382256452208644,0.5,2.2366670773260773,5.56265942992307,0.11726202657067916,14.1986623467342,0.000986007701746945
qwen3_vl_32b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2704,103,0.1721897211183459,0.040191305129947764,0.09247045796033096,0.2519089842763609,4.1605706942559124e-05,0.49809199253858344,2.2366670773260773,5.56265942992307,0.11726202657067916,14.1986623467342,8.321141388511825e-05
qwen3_vl_32b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.9589738861690125,0.08805662289263622,0.7858389627081225,1.1321088096299026,3.0444039412097513e-24,0.5,0.9589738861690141,2.600489558750014,0.0912195491313446,14.205619463285725,3.4655468860439644e-23
qwen3_vl_32b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.06665283656068913,0.04132719765939069,-0.01460375685120785,0.1479094299725861,0.10760985082323864,0.5,0.9589738861690141,2.600489558750014,0.0912195491313446,14.205619463285725,0.1383555224870211
qwen3_vl_32b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.10050787486166418,0.03399526803251423,0.033667154249222966,0.1673485954741054,0.003303932608377438,0.5,0.9589738861690141,2.600489558750014,0.0912195491313446,14.205619463285725,0.003964719130052926
qwen3_vl_32b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.10525288607829791,0.04298941292968914,0.020728082915164703,0.18977768924143112,0.014799218054181851,0.5,0.9589738861690141,2.600489558750014,0.0912195491313446,14.205619463285725,0.01664912031095458
qwen3_vl_32b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2847,384,0.12124006772385124,0.03593017226114301,0.05059498255002719,0.19188515289767527,0.0008155524936697971,0.4997331624939104,0.9589738861690141,2.600489558750014,0.0912195491313446,14.205619463285725,0.0011292265296966421
qwen3_vl_4b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.5506458733456221,0.049692626456371056,0.4507321515402944,0.6505595951509497,7.908629766730604e-15,0.5,0.5506458733456217,1.9054941610383749,0.09047281913760344,11.127607799496788,1.0950410446242375e-14
qwen3_vl_4b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.1632476054338465,0.030579106299755847,0.10176419154000038,0.22473101932769263,2.522237111865157e-06,0.5,0.5506458733456217,1.9054941610383749,0.09047281913760344,11.127607799496788,1.5133422671190942e-05
qwen3_vl_4b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.1667938084580938,0.03434011727826143,0.09774837517806946,0.23583924173811815,1.3092048563257761e-05,0.5,0.5506458733456217,1.9054941610383749,0.09047281913760344,11.127607799496788,2.6184097126515522e-05
qwen3_vl_4b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.15946509696819816,0.032892720959157844,0.0933298490311832,0.22560034490521313,1.349985468657276e-05,0.5,0.5506458733456217,1.9054941610383749,0.09047281913760344,11.127607799496788,6.0749346089577424e-05
qwen3_vl_4b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2875,49,0.16143754580886172,0.027689374997708686,0.10576432610264583,0.2171107655150776,4.5492288069626973e-07,0.49987219538620753,0.5506458733456217,1.9054941610383749,0.09047281913760344,11.127607799496788,2.7295372841776186e-06
qwen3_vl_4b,lvbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,1.6538075375368027,0.1493976268281269,1.3574780530926671,1.9501370219809382,3.525100013180003e-19,0.5,1.6538075375368047,4.152824604342227,0.052486802339553836,12.731241380876925,1.269036004744801e-18
qwen3_vl_4b,lvbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.0406154538823202,0.053597066155978534,-0.06569407270735644,0.14692498047199684,0.4503224314751665,0.5,1.6538075375368047,4.152824604342227,0.052486802339553836,12.731241380876925,0.5066127354095623
qwen3_vl_4b,lvbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.16561678332703442,0.036701502775888614,0.09281952659138377,0.23841404006268507,1.720099521813133e-05,0.5,1.6538075375368047,4.152824604342227,0.052486802339553836,12.731241380876925,3.096179139263639e-05
qwen3_vl_4b,lvbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,103,0.15689729766293875,0.038055443781976776,0.08141450536142901,0.23238008996444848,7.638398833206004e-05,0.5,1.6538075375368047,4.152824604342227,0.052486802339553836,12.731241380876925,0.00022812672346746816
qwen3_vl_4b,lvbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2756,103,0.14367667154585606,0.03174530734921579,0.08071000493919023,0.2066433381525219,1.631912224918883e-05,0.4988844167360699,1.6538075375368047,4.152824604342227,0.052486802339553836,12.731241380876925,4.89573667475665e-05
qwen3_vl_4b,nextgqa,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.9344101407720479,0.08602256422186443,0.7652745370750831,1.1035457444690127,3.850607651159961e-24,0.5,0.9344101407720492,2.378723458820363,0.0648246456655761,14.685738374525894,3.4655468860439644e-23
qwen3_vl_4b,nextgqa,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.09957322467636878,0.041511864814727885,0.0179535429156939,0.18119290643704367,0.016932245497903516,0.5,0.9344101407720492,2.378723458820363,0.0648246456655761,14.685738374525894,0.03386449099580703
qwen3_vl_4b,nextgqa,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.1000981912503458,0.035739234255380996,0.029828524028374034,0.17036785847231756,0.005356184571334991,0.5,0.9344101407720492,2.378723458820363,0.0648246456655761,14.685738374525894,0.0060257076427518656
qwen3_vl_4b,nextgqa,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,384,0.09851965035709195,0.039837503147510354,0.020192060316230206,0.1768472403979537,0.013830170939729767,0.5,0.9344101407720492,2.378723458820363,0.0648246456655761,14.685738374525894,0.01659620512767572
qwen3_vl_4b,nextgqa,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2876,384,0.08867629080477317,0.038636473423970016,0.012710138012225425,0.16464244359732091,0.02226477704506382,0.4998761842282287,0.9344101407720492,2.378723458820363,0.0648246456655761,14.685738374525894,0.02226477704506382
videollama3_7b,herbench,unadjusted,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.03009211459755897,0.006454305256639136,0.017114864131140363,0.04306936506397758,2.5195808132803747e-05,0.5,0.030092114597558978,0.07774829840660097,0.0216436505317688,1.0007515759766101,2.5195808132803747e-05
videollama3_7b,herbench,singleton_sum,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.015528228791092332,0.004165114700211869,0.007153704417549284,0.02390275316463538,0.0005088610766982431,0.5,0.030092114597558978,0.07774829840660097,0.0216436505317688,1.0007515759766101,0.0018318998761136754
videollama3_7b,herbench,singleton_rich,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.015626077834025448,0.004098710828127825,0.0073850673935409936,0.023867088274509903,0.00039234124189718527,0.5,0.030092114597558978,0.07774829840660097,0.0216436505317688,1.0007515759766101,0.0005432417195499489
videollama3_7b,herbench,full,evidence_pair_coefficient_adjusted_for_singleton_scale,3000,49,0.014602548193398027,0.004354001520489649,0.005848241414300371,0.023356854972495684,0.0015630895363475871,0.5,0.030092114597558978,0.07774829840660097,0.0216436505317688,1.0007515759766101,0.002557782877659688
videollama3_7b,herbench,full_common_support,evidence_pair_coefficient_adjusted_for_singleton_scale,2892,49,0.011992567956171487,0.004185871231346048,0.003576309779743117,0.020408826132599856,0.00617004846690302,0.49993112591871175,0.030092114597558978,0.07774829840660097,0.0216436505317688,1.0007515759766101,0.006941304525265897
