model,benchmark,condition,items,accuracy,mean_logodds,evidence_recall_at_k,temporal_coverage,charged_candidate_frames,mean_seconds,logodds_rank,accuracy_rank
qwen3_vl_4b,herbench,bolt_its8,1971,0.4840182648401826,-0.4644118228070991,0.0213470319634703,0.7481124532755875,64.0,0.0842371133304017,2.0,3.0
qwen3_vl_4b,herbench,dino_change8,1971,0.4687975646879756,-0.6376695913569925,0.030593607305936,0.6253735984154533,64.0,0.0843000120465855,6.0,8.0
qwen3_vl_4b,herbench,dino_diversity8,1971,0.4880771182141045,-0.5113782167688492,0.0207762557077625,0.8717134172657633,64.0,0.0844282006806132,3.0,2.0
qwen3_vl_4b,herbench,random8,1971,0.4830035514967021,-0.5210328366332916,0.0244292237442922,0.8014409623047865,64.0,0.0844390838657884,4.0,4.0
qwen3_vl_4b,herbench,siglip_dino_submodular8,1971,0.493658041603247,-0.4535694477113885,0.0248858447488584,0.7915517058917059,64.0,0.0844276869496617,1.0,1.0
qwen3_vl_4b,herbench,siglip_relevance8,1971,0.4708269913749365,-0.6675072907082489,0.0227168949771689,0.7203208688075747,64.0,0.0844505390862049,7.0,6.0
qwen3_vl_4b,herbench,uniform8,1971,0.4799594114662607,-0.6278445495570876,0.0184931506849315,0.9999932425710246,64.0,0.0845017551710495,5.0,5.0
qwen3_vl_4b,lvbench,aks_fixedk8,1549,0.4021949644932214,-0.5639626422534825,0.1942382182052937,0.7595271714807882,64.0,0.0799564508717625,2.0,2.0
qwen3_vl_4b,lvbench,bolt_its8,1549,0.3899289864428664,-0.7234469349439961,0.1843124596513879,0.751165403565621,64.0,0.0798018977594344,4.0,4.0
qwen3_vl_4b,lvbench,dino_change8,1549,0.3447385409941898,-1.077190989512809,0.1968205293737895,0.759455434921056,64.0,0.0799365646997677,6.0,7.0
